pop caco X1 X2 X3
Pop1 1 -0.0454529474246816 0.0267715079522215 0.0289412204528544
Pop1 0 0.0180362642047052 -0.033616122426376 -0.0489158956462350
Pop1 1 0.00163108743004708 0.032865001238719 0.00439188689114872
Pop1 0 0.0219779976150209 -0.0506952753989392 -0.0921017465208835
Pop1 0 -0.0038456412171079 0.0288235190080279 0.0481738976777028
Pop1 0 0.0172183032934644 -0.0141902220567691 -0.011262438266428
Pop1 1 0.0207492103741651 -0.0190518108434926 -0.0124913598211564
Pop1 0 -0.0146480540172647 -0.0216377843810048 0.00878965468170514
Pop1 0 0.00971452427468955 -0.0289753375613501 -0.0357105686503112
Pop1 1 0.00625987304820685 -0.0186978549554407 -0.0484119474231865
Pop1 1 -0.0336546252415766 -0.0296463473978988 -0.0193421100005817
Pop1 0 -0.0210848303294739 0.0354496528779804 0.0282189101238387
Pop1 0 0.0208301774274641 -0.0063382274187897 0.0481850542577439
Pop1 1 0.0133737074347464 -0.0213720811248663 -0.0267010647660523
Pop1 1 -0.00913004329787794 -0.0129465238177514 -0.0432710585617277
Pop1 0 -0.000794793437529894 -0.0194732018233047 -0.0394495971982758
Pop1 0 -0.0160474738289684 0.0401617153892965 0.031669231904079
Pop1 0 0.0300527967984756 -0.0191664527977649 0.0138749814620972
Pop1 0 -0.00710741086572966 0.0213809295634736 0.0352889711698914
Pop1 1 -0.0432814219343699 0.00308202122874222 0.0122837726364321
Pop1 0 -0.0145009967193599 0.0147439888424389 0.0160224995867585
Pop1 1 -0.0252476376604525 0.0300326130268013 -0.00128213733354835
Pop1 1 0.00560005235721441 0.00553581085867279 0.0148904271454029
Pop1 0 -0.0166601963404983 -0.0231522478792124 -0.0451891973625943
Pop1 0 -0.00603500691851908 -0.0189616245145177 -0.0344995165241076
Pop1 0 0.0203141245544907 0.0517911218726208 0.00502050898990667
Pop1 0 0.00187277089676094 0.0154627951714255 0.0251685915024534
Pop1 0 -0.0273273126217839 -0.0305670673305835 -0.0338026902383504
Pop1 1 -0.0483266704099072 0.0300549711432709 -0.0118375622383974
Pop1 0 -0.0128080360458739 0.0427677464805938 0.0132503871168385
Pop1 0 -0.0391224409617897 0.00124748654911931 -0.00730932440738196
Pop1 1 0.00977613993587435 -0.00443238173900243 -0.0322602992441585
Pop1 0 -0.00582005312752479 0.0250333410023384 0.0152542886310716
Pop1 1 -0.0526662002691549 -0.0214728951128385 -0.0201976766111614
